kode,url,nama,status,order_id,parent_id/menus.kode,icon,need_login,class_name
login,/login,Login,1,1,,,False,
reset-password,/reset/password,Reset Password,1,1,,,False,
register,/register,Register,1,1,,,False,
base,/,Base,1,1,,,False,
logout,/logout,Logout,1,2,base,,,
change-password,/password/{code},Ubah password,1,3,base,,,
menus,/menu,Menus,1,4,base,,,
departemen,/departemen,Departemen,1,5,base,,,
profile,/profile,Profile,1,6,base,,,
group,/group,Daftar group,1,7,base,,,
routes,/routes,Routes,1,8,base,,,
parameter,/parameter,Parameter,1,9,base,,,
partner,/partner,Partner,1,10,base,,,
departemen,/departemen,Organisasi,1,11,base,,,
permission,/permission,Daftar Permission,1,12,base,,,
eselon,/eselon,Daftar Eselon,1,13,base,,,
jabatan,/jabatan,Daftar Jabatan,1,14,base,,,
partner-departemen,/partner/departemen,Partner Departemen,1,15,base,,,
log,/log,Log Aplikasi,1,16,base,,,
provinsi,/provinsi,Provinsi,1,17,base,,,
dati2,/dati2,Kabupaten/Kota,1,18,base,,,
kecamatan,/kecamatan,Kecamatan,1,19,base,,,
desa,/desa,Desa/Kelurahan,1,20,base,,,
company,/company,Pemda,1,21,base,,,
